
{SMT_CULTURE_ROMAN}				Roman
{SMT_CULTURE_BARBARIAN}			Barbarian
{SMT_CULTURE_CARTHAGE}				Carthaginian
{SMT_CULTURE_GREEK}				Greek
{SMT_CULTURE_EGYPT}				Egyptian
{SMT_CULTURE_EASTERN}				Eastern
{SMT_END_TURN}					End turn
{SMT_SABOTAGE}					Sabotage
{SMT_ASSASSINATE}				Assassinate
{SMT_SETTLEMENTS}				Settlements
{SMT_CAPITAL}					Capital city
{SMT_ALLIES}					Allies
{SMT_ENEMIES}					Enemies
{SMT_SUSPICIOUS}				Suspicious
{SMT_NEUTRAL}					Neutral
{SMT_HOSTILE}					Hostile
{SMT_AT_WAR}					At war
{SMT_NIGHT_ATTACK}				Attempt a night attack
{SMT_TRADE_RIGHTS}				Trade rights
{SMT_SIEGE}					Maintain siege
{SMT_ASSAULT}					Assault
{SMT_END_SIEGE}					Break the siege
{SMT_AGE}					Age
{SMT_LOYALTY}					Loyalty
{SMT_GOVERNOR}					Governor
{SMT_GARRISON}					Garrison
{SMT_RECRUITMENT_COST}				Cost to Recruit:
{SMT_RECRUITMENT_TIME}				Time to Recruit:
{SMT_RETRAIN_TIME}				Time to Retrain:
{SMT_RETRAIN_COST}				Cost to Retrain:
{SMT_FIGHT_BATTLE}				Fight battle on battle map
{SMT_WITHDRAW}				Withdraw from battle
{SMT_AUTORESOLVE}				Automatically resolve battle
{SMT_DISBAND}					Disband unit\nLand units can only be disbanded in a home region, sea units only in port\nGeneral's units cannot be disbanded.
{SMT_DOCTOR_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_QUARTERMASTER_DESCR}			THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_PRIEST_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_SCOUT_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_ENGINEER_DESCR}				THIS TOOLTIP TEXT SHOULD NEVER APPEAR ON SCREEN! DO NOT TRANSLATE!
{SMT_SPY_DESCR}				A spy discovers information about rival factions. He can be used to gather information about rivals' cities, armies and characters. The longer he remains in place as a spy, the more information he gathers. He can also cause discontent in rivals' settlements, and if he is inside a city under siege by his own faction, he will open the gates to them!
{SMT_ASSASSIN_DESCR}				Sometimes a single knife can be more effective in matters than a thousand swords - when it's thrust into the right person's vitals. An assassin is a way of making sure that politics and war become very personal, as they target the leaders and important characters in a faction. An assassin's chances of success depend upon his own skill, the importance of his target and, perhaps, a little luck.
{SMT_DIPLOMAT_DESCR}				A diplomat is an individual trained in the arts of flattery, cajolery, smooth talking and sometimes even bullying who is sent out to deal with rival factions. It is his job to strike bargains, cement peace treaties or even demand a surrender. Diplomats also act as the eyes and ears of their factions in the places they go.
{SMT_ADMIRAL_DESCR}				An admiral is a minor commander in charge of a fleet. His skills and abilities can help during naval battles, and allow the fleet to navigate safely. All fleets have a permanently attached admiral in command.
{SMT_ARMY_UPKEEP}				Army upkeep:
{SMT_LOYALTY_REVOLTING}			Revolting
{SMT_LOYALTY_RIOTING}				Rioting
{SMT_LOYALTY_DISILLUSIONED}			Disillusioned
{SMT_LOYALTY_CONTENT}				Content
{SMT_LOYALTY_HAPPY}Happy\n+@{Get.SettingAndMultiply("OrderBonusIncomeMultiplier", 100)}% income if public order at or above @{Get.Setting("OrderBonusIncomeThreshold")}%\n+1 construction point if public order at or above @{Get.Setting("OrderBonusConstructionThreshold")}%\n+1 recruitment point if public order at or above @{Get.Setting("OrderBonusRecruitmentThreshold")}%
{SMT_FORTIFICATION_NONE}			No fortifications
{SMT_FORTIFICATION_0}				Wooden
{SMT_FORTIFICATION_1}				Large wooden
{SMT_FORTIFICATION_2}				Stone
{SMT_FORTIFICATION_3}				Large stone
{SMT_FORTIFICATION_4}				Epic
{SMT_MISSION_INFILTRATE}			Infiltration Mission
{SMT_MISSION_DIPLOMACY}			Diplomacy Mission
{SMT_MISSION_BRIBE}				Bribery Mission
{SMT_MISSION_SPYING}				Spying Mission
{SMT_MISSION_ASSASSINATE}			Assassination Mission
{SMT_MISSION_SABOTAGE}				Sabotage Mission
{SMT_NAME}					Name
{SMT_FORT}					Fort
{SMT_FACTION}					Faction
{SMT_PORT}					Port
{SMT_POPULATION}				Population
{SMT_FATIGUE}					Fatigue level
{SMT_EXPERIENCE}				Experience
{SMT_MILD}					mild
{SMT_MASSIVE}					massive
{SMT_CATASTROPHIC}				catastrophic
{SMT_SMALL}					small
{SMT_MEDIUM}					moderate
{SMT_LARGE}					large
{SMT_HUGE}					huge
{SMT_CURRENTLY_BUILDING}			Currently building
{SMT_HEALTHY}					Healthy
{SMT_TIRED}					Tired
{SMT_ILL}					Ill
{SMT_DYING}					Dying
{SMT_ARMY_DETAILS}				Army Details
{SMT_ENEMY_ARMY_DETAILS}			Enemy Army Details
{SMT_ALLIED_ARMY_DETAILS}			Allied Army Details
{SMT_NEUTRAL_ARMY_DETAILS}			Neutral Army Details
{SMT_NAVY_DETAILS}				Navy Details
{SMT_ENEMY_NAVY_DETAILS}			Enemy Navy Details
{SMT_ALLIED_NAVY_DETAILS}			Allied Navy Details
{SMT_NEUTRAL_NAVY_DETAILS}			Neutral Navy Details
{SMT_SETTLEMENT_DETAILS}			Settlement Details
{SMT_ENEMY_SETTLEMENT_DETAILS}		Enemy Settlement Details
{SMT_NEUTRAL_SETTLEMENT_DETAILS}		Neutral Settlement Details
{SMT_ALLIED_SETTLEMENT_DETAILS}		Allied Settlement Details
{SMT_FORT_DETAILS}				Fort Details
{SMT_ENEMY_FORT_DETAILS}			Enemy Fort Details
{SMT_ALLIED_FORT_DETAILS}			Allied Fort Details
{SMT_NEUTRAL_FORT_DETAILS}			Neutral Fort Details
{SMT_SET_HEIR}					Set faction heir
{SMT_PREV_CITY}					Select the previous city
{SMT_NEXT_CITY}				Select the next city
{SMT_NEXT_CHARACTER}				Select the next character
{SMT_PREV_CHARACTER}				Select the previous character
{SMT_NEXT_UNIT}				Select the next unit
{SMT_PREV_UNIT}					Select the previous unit
{SMT_PREV_FORT}				Select the previous fort
{SMT_NEXT_FORT}				Select the next fort
{SMT_FOOD_SUPPLIES}				Food supplies
{SMT_STATE_REVOLTING}				The peasants in this settlement are revolting
{SMT_STATE_NOT_REVOLTING}			No signs of peasant dissent in this settlement
{SMT_STATE_UNDER_SIEGE}			This settlement is under siege
{SMT_STATE_NOT_UNDER_SIEGE}			This settlement isn't under siege
{SMT_STATE_HOLDING_GAMES}			This settlement is holding games
{SMT_STATE_NOT_HOLDING_GAMES}			No games are being held in the settlement
{SMT_STATE_PLAGUE}				Plague stalks the streets of this settlement
{SMT_STATE_NOT_PLAGUED}			No signs of the plague in this settlement
{SMT_FERTILE_LOW}				Low fertility
{SMT_FERTILE_MEDIUM}				Medium fertility
{SMT_FERTILE_HIGH}				High fertility
{SMT_WILDERNESS}				Wilderness
{SMT_MOUNTAINS_HIGH}				High mountains
{SMT_MOUNTAINS_LOW}				Low mountains
{SMT_HILLS}					Hills
{SMT_FOREST_DENSE}				Dense forest
{SMT_FOREST_SPARSE}				Woodland
{SMT_SWAMP}					Swamp
{SMT_OCEAN}					Ocean
{SMT_SEA_DEEP}					Deep sea
{SMT_SEA_SHALLOW}				Shallow sea
{SMT_BEACH}					Coast
{SMT_FAMINE_THREAT_OK}				None
{SMT_FAMINE_THREAT_HUNGRY}			Hungry
{SMT_FAMINE_THREAT_FAMINE_1}			Minor famine
{SMT_FAMINE_THREAT_FAMINE_2}			Famine
{SMT_FAMINE_THREAT_FAMINE_3}			Disastrous famine
{SMT_FAMINE_THREAT}				Famine threat
{SMT_HARVEST_LEVEL}				Harvest level
{SMT_FARMING_LEVEL}				Farming level
{SMT_TAX_LEVEL_LOW}				Low tax rate
{SMT_TAX_LEVEL_NORMAL}				Normal tax rate
{SMT_TAX_LEVEL_HIGH}				High tax rate
{SMT_TAX_LEVEL_VERY_HIGH}			Very high tax rate
{SMT_GOVERNOR_POLICY_BALANCED}		Balanced build policy
{SMT_GOVERNOR_POLICY_FINANCIAL}		Financial build policy
